"trainer/global_step","cnn__large__l1__True - _step","cnn__large__l1__True - _step__MIN","cnn__large__l1__True - _step__MAX","cnn__large__l1__True - train_loss_epoch","cnn__large__l1__True - train_loss_epoch__MIN","cnn__large__l1__True - train_loss_epoch__MAX","cnn__medium__l1__True - _step","cnn__medium__l1__True - _step__MIN","cnn__medium__l1__True - _step__MAX","cnn__medium__l1__True - train_loss_epoch","cnn__medium__l1__True - train_loss_epoch__MIN","cnn__medium__l1__True - train_loss_epoch__MAX","cnn__small__l1__True - _step","cnn__small__l1__True - _step__MIN","cnn__small__l1__True - _step__MAX","cnn__small__l1__True - train_loss_epoch","cnn__small__l1__True - train_loss_epoch__MIN","cnn__small__l1__True - train_loss_epoch__MAX","cnn__expanded__l1__True - _step","cnn__expanded__l1__True - _step__MIN","cnn__expanded__l1__True - _step__MAX","cnn__expanded__l1__True - train_loss_epoch","cnn__expanded__l1__True - train_loss_epoch__MIN","cnn__expanded__l1__True - train_loss_epoch__MAX","cnn__lightweight__l1__True - _step","cnn__lightweight__l1__True - _step__MIN","cnn__lightweight__l1__True - _step__MAX","cnn__lightweight__l1__True - train_loss_epoch","cnn__lightweight__l1__True - train_loss_epoch__MIN","cnn__lightweight__l1__True - train_loss_epoch__MAX"
"2348","23","23","23","0.004308617673814297","0.004308617673814297","0.004308617673814297","23","23","23","0.005710855592042208","0.005648444872349501","0.005773266311734915","23","23","23","0.0069968909956514835","0.006957520730793476","0.007036261260509491","23","23","23","0.0051117888651788235","0.0051117888651788235","0.0051117888651788235","23","23","23","0.00929399998858571","0.009154642932116985","0.009433357045054436"
"4697","47","47","47","0.002585365902632475","0.002585365902632475","0.002585365902632475","47","47","47","0.0031651353929191828","0.0031425445340573788","0.003187726251780987","47","47","47","0.0036229476099833846","0.0035485010594129562","0.003697394160553813","47","47","47","0.0028807991184294224","0.0028807991184294224","0.0028807991184294224","47","47","47","0.004548957105726004","0.004479451570659876","0.004618462640792131"
"7046","72","72","72","0.002273496938869357","0.002273496938869357","0.002273496938869357","72","72","72","0.002745241275988519","0.002731348853558302","0.0027591336984187365","72","72","72","0.0030451646307483315","0.0029513982590287924","0.0031389310024678707","72","72","72","0.002530054422095418","0.002530054422095418","0.002530054422095418","72","72","72","0.0036895385710522532","0.003655824111774564","0.0037232530303299427"
"9395","96","96","96","0.002120004501193762","0.002120004501193762","0.002120004501193762","96","96","96","0.002508312347345054","0.002474722219631076","0.0025419024750590324","96","96","96","0.002775701112113893","0.002661560894921422","0.002889841329306364","96","96","96","0.002320648171007633","0.002320648171007633","0.002320648171007633","96","96","96","0.003213536227121949","0.0031939446926116943","0.003233127761632204"
"11744","121","121","121","0.002036113990470767","0.002036113990470767","0.002036113990470767","121","121","121","0.0023544305004179478","0.0023262437898665667","0.002382617210969329","121","121","121","0.002578676911070943","0.0024664883967489004","0.0026908654253929853","121","121","121","0.002201150869950652","0.002201150869950652","0.002201150869950652","121","121","121","0.0029673364479094744","0.0029055331833660603","0.0030291397124528885"
"14093","145","145","145","0.00196058745495975","0.00196058745495975","0.00196058745495975","145","145","145","0.0022468813695013523","0.0022265214938670397","0.002267241245135665","145","145","145","0.002438157913275063","0.002361863851547241","0.002514451975002885","145","145","145","0.002098486525937915","0.002098486525937915","0.002098486525937915","145","145","145","0.0028086421079933643","0.00274446583352983","0.0028728183824568987"
"16442","170","170","170","0.0019025735091418028","0.0019025735091418028","0.0019025735091418028","170","170","170","0.002166756661608815","0.002154453657567501","0.0021790596656501293","170","170","170","0.002345500630326569","0.002283484907820821","0.0024075163528323174","170","170","170","0.0020373568404465914","0.0020373568404465914","0.0020373568404465914","170","170","170","0.002666032873094082","0.002598377177491784","0.0027336885686963797"
"18791","194","194","194","0.0018516604322940111","0.0018516604322940111","0.0018516604322940111","194","194","194","0.0020995723316445947","0.002086663618683815","0.0021124810446053743","194","194","194","0.002272997982800007","0.0022175994236022234","0.0023283965419977903","194","194","194","0.0019908156245946884","0.0019908156245946884","0.0019908156245946884","194","194","194","0.002551881712861359","0.00248318281956017","0.002620580606162548"
"21140","219","219","219","0.0018052468076348305","0.0018052468076348305","0.0018052468076348305","219","219","219","0.0020523330895230174","0.0020401189103722572","0.0020645472686737776","219","219","219","0.0022138002095744014","0.002168516395613551","0.0022590840235352516","219","219","219","0.001940348418429494","0.001940348418429494","0.001940348418429494","219","219","219","0.0024861665442585945","0.0024191970005631447","0.0025531360879540443"
"23489","243","243","243","0.001764826476573944","0.001764826476573944","0.001764826476573944","243","243","243","0.0020039116498082876","0.001992003060877323","0.002015820238739252","243","243","243","0.002157446928322315","0.0021246622782200575","0.002190231578424573","243","243","243","0.0019060904160141945","0.0019060904160141945","0.0019060904160141945","243","243","243","0.0024257421027868986","0.00235929386690259","0.0024921903386712074"